#{"t_start": 1756221011.2154806, "env_id": "None"}
r,l,t
0.442741,1,0.357951
0.2,1,0.593456
0.4,1,0.829718
0.442741,1,1.046627
0.4,1,1.274605
0.429128,1,1.505709
0.429128,1,1.77511
0.429128,1,2.012708
0.429128,1,2.253752
0.442741,1,2.512898
0.442741,1,2.762504
0.2,1,2.98666
0.442741,1,3.21429
0.429128,1,3.444092
0.4,1,3.665205
0.442741,1,3.896466
0.424,1,4.120626
0.429128,1,4.37127
0.4,1,4.617382
0.424,1,4.852297
0.429128,1,5.109545
0.442741,1,5.344808
0.442741,1,5.578304
0.429128,1,5.804968
0.442741,1,6.048551
0.429128,1,6.308293
0.429128,1,6.546603
0.424,1,6.769391
0.442741,1,7.022474
0.442741,1,7.253821
0.442741,1,7.524837
0.429128,1,7.776151
0.4,1,8.027215
0.442741,1,8.280392
0.429128,1,8.518409
0.429128,1,8.757944
0.429128,1,9.004175
0.4,1,9.249187
0.424,1,9.480874
0.2,1,9.728341
0.4,1,9.968434
0.424,1,10.216431
0.429128,1,10.461613
0.429128,1,10.721182
0.442741,1,10.962761
0.4,1,11.191788
0.442741,1,11.431262
0.4,1,11.665539
0.4,1,11.893649
0.429128,1,12.126611
0.424,1,12.356926
0.424,1,12.61406
0.429128,1,12.859585
0.4,1,13.095639
0.424,1,13.345221
0.424,1,13.583172
0.2,1,13.817604
0.424,1,14.060896
0.424,1,14.297574
0.424,1,14.536562
0.442741,1,14.77663
0.429128,1,15.01104
0.429128,1,15.250768
0.4,1,15.494998
0.429128,1,15.747007
0.429128,1,16.056995
0.424,1,16.298886
0.424,1,16.547051
0.442741,1,16.794855
0.429128,1,17.023816
0.429128,1,17.271078
0.429128,1,17.504534
0.429128,1,17.752592
0.429128,1,17.980922
0.4,1,18.209308
0.4,1,18.438554
0.424,1,18.671855
0.442741,1,18.914109
0.442741,1,19.14983
0.4,1,19.372888
0.424,1,19.652947
0.429128,1,19.87758
0.442741,1,20.100956
0.442741,1,20.332665
0.429128,1,20.579395
0.2,1,20.811355
0.442741,1,21.029626
0.442741,1,21.256706
0.429128,1,21.501872
0.442741,1,21.738751
0.442741,1,21.968408
0.442741,1,22.197123
0.2,1,22.443705
0.429128,1,22.6652
0.424,1,22.901151
0.429128,1,23.136542
0.442741,1,23.363877
0.4,1,23.616852
0.442741,1,23.842777
0.4,1,24.075353
0.424,1,24.304284
0.442741,1,24.532415
0.442741,1,24.762411
0.442741,1,25.008355
0.4,1,25.234506
0.424,1,25.472453
0.442741,1,25.702756
0.442741,1,25.936857
0.442741,1,26.161806
0.429128,1,26.400147
0.442741,1,26.634835
0.442741,1,26.871468
0.442741,1,27.113926
0.442741,1,27.362733
0.442741,1,27.606016
0.442741,1,27.844418
0.424,1,28.09526
0.442741,1,28.329228
0.442741,1,28.556792
0.442741,1,28.785517
0.442741,1,29.017684
0.424,1,29.267736
0.442741,1,29.495254
0.442741,1,29.729762
0.442741,1,29.961253
0.424,1,30.187349
0.442741,1,30.417425
0.442741,1,30.644661
0.442741,1,30.876695
0.442741,1,31.107061
0.4,1,31.368256
0.442741,1,31.596572
0.442741,1,31.827365
0.429128,1,32.055013
0.2,1,32.276057
