#{"t_start": 1756220832.830819, "env_id": "None"}
r,l,t
0.428277,1,6.362423
0.442471,1,6.572681
0.2,1,6.788776
0.442741,1,7.002001
0.428277,1,7.233532
0.2,1,7.45805
0.442471,1,7.681875
0.424,1,7.892847
0.4,1,8.118426
0.429128,1,8.340879
0.428277,1,8.566746
0.2,1,8.794698
0.4252,1,9.04376
0.4,1,9.289711
0.442741,1,9.523856
0.2,1,9.767182
0.428277,1,10.006605
0.424,1,10.235906
0.429128,1,10.458233
0.442471,1,10.731951
0.442741,1,10.961193
0.4252,1,11.194393
0.442741,1,11.418431
0.4252,1,11.646376
0.4,1,11.871288
0.4,1,12.096111
0.429128,1,12.334727
0.429128,1,12.573534
0.428277,1,12.806008
0.442471,1,13.0284
0.429128,1,13.248861
0.4,1,13.469346
0.428277,1,13.701401
0.442741,1,13.922848
0.429128,1,14.1492
0.4252,1,14.391358
0.428277,1,14.620564
0.429128,1,14.844117
0.424,1,15.069896
0.4252,1,15.290818
0.429128,1,15.531911
0.442471,1,15.753428
0.429128,1,15.974019
0.4252,1,16.205984
0.4,1,16.45077
0.428277,1,16.670217
0.428277,1,16.892708
0.442741,1,17.115073
0.429128,1,17.340817
0.428277,1,17.585943
0.4,1,17.814846
0.2,1,18.071167
0.4,1,18.331686
0.442741,1,18.576797
0.2,1,18.829872
0.442471,1,19.069412
0.424,1,19.310258
0.2,1,19.550849
0.428277,1,19.784106
0.424,1,20.013334
0.4252,1,20.269082
0.429128,1,20.52087
0.428277,1,20.767033
0.2,1,21.00242
0.442741,1,21.241714
0.442741,1,21.476041
0.428277,1,21.704602
0.429128,1,21.925797
0.429128,1,22.175514
0.428277,1,22.419468
0.4,1,22.659932
0.429128,1,22.883173
0.2,1,23.118913
0.428277,1,23.357978
0.428277,1,23.597546
0.4,1,23.831799
0.428277,1,24.092364
0.429128,1,24.330557
0.428277,1,24.569178
0.4,1,24.815252
0.428277,1,25.058228
0.429128,1,25.302678
0.4252,1,25.533423
0.428277,1,25.760073
0.4,1,26.008684
0.2,1,26.264785
0.428277,1,26.49907
0.442741,1,26.736397
0.442741,1,26.982661
0.442741,1,27.211252
0.428277,1,27.438701
0.442471,1,27.659978
0.428277,1,27.914001
0.428277,1,28.137252
0.2,1,28.379856
0.2,1,28.605658
0.442471,1,28.836957
0.2,1,29.070256
0.429128,1,29.300185
0.429128,1,29.527214
0.4,1,29.793828
0.429128,1,30.017925
0.429128,1,30.238777
0.429128,1,30.461646
0.442471,1,30.699079
0.2,1,30.944817
0.428277,1,31.183931
0.429128,1,31.413867
0.2,1,31.644669
0.428277,1,31.898543
0.4,1,32.11715
0.428277,1,32.346593
0.428277,1,32.579226
0.2,1,32.809421
0.442741,1,33.030908
0.2,1,33.260678
0.428277,1,33.484651
0.424,1,33.736515
0.429128,1,33.969214
0.429128,1,34.196265
0.4,1,34.421871
0.4252,1,34.642845
0.429128,1,34.8738
0.424,1,35.101171
0.442741,1,35.331683
0.429128,1,35.595255
0.428277,1,35.827731
0.424,1,36.057208
0.2,1,36.298882
0.424,1,36.529207
0.428277,1,36.773359
0.429128,1,37.018989
0.429128,1,37.300299
0.429128,1,37.557582
0.428277,1,37.801293
0.429128,1,38.032212
0.429128,1,38.261407
0.2,1,38.491246
0.4,1,38.720115
0.4252,1,38.95769
0.442471,1,39.186991
0.428277,1,39.436268
0.429128,1,39.676991
0.429128,1,39.906971
0.442741,1,40.132404
0.429128,1,40.352987
0.442471,1,40.586415
0.428277,1,40.810149
0.428277,1,41.037529
0.428277,1,41.27763
0.4,1,41.502465
0.428277,1,41.731707
0.428277,1,41.958963
0.428277,1,42.19694
0.429128,1,42.423611
0.428277,1,42.651579
0.428277,1,42.88347
0.428277,1,43.120949
0.429128,1,43.34607
0.428277,1,43.575585
0.428277,1,43.809933
0.429128,1,44.033878
0.428277,1,44.275977
0.429128,1,44.497448
0.428277,1,44.728348
0.2,1,44.967822
0.428277,1,45.20469
0.428277,1,45.436385
0.429128,1,45.665487
0.428277,1,45.902287
0.428277,1,46.14303
0.2,1,46.375241
0.428277,1,46.635744
0.429128,1,46.896407
0.429128,1,47.134238
0.429128,1,47.381464
0.4,1,47.656837
0.4,1,47.905445
0.429128,1,48.140919
0.4,1,48.38064
0.4,1,48.679994
0.429128,1,48.92127
0.429128,1,49.15076
0.4,1,49.382762
0.429128,1,49.631348
0.429128,1,49.860847
0.429128,1,50.114174
0.4,1,50.346117
0.429128,1,50.610582
0.429128,1,50.830762
0.429128,1,51.05331
0.429128,1,51.27733
0.429128,1,51.5087
0.4,1,51.737588
0.429128,1,51.959859
0.4,1,52.191453
0.4,1,52.435623
0.429128,1,52.666567
0.4,1,52.891689
0.429128,1,53.12771
0.4,1,53.355334
0.429128,1,53.590442
0.4,1,53.814315
0.429128,1,54.038842
0.429128,1,54.296365
0.429128,1,54.530446
0.4,1,54.764033
0.4,1,54.997958
0.429128,1,55.230462
0.428277,1,55.455947
0.429128,1,55.68545
0.429128,1,55.913169
0.4,1,56.163285
0.429128,1,56.401841
0.4,1,56.631837
0.429128,1,56.857799
0.4,1,57.084991
0.4,1,57.313764
0.429128,1,57.554053
0.429128,1,57.797317
0.429128,1,58.046615
0.429128,1,58.27832
0.4,1,58.518302
0.4,1,58.785932
0.4,1,59.04592
0.428277,1,59.28552
0.4,1,59.534209
0.429128,1,59.767692
0.4,1,60.023554
0.429128,1,60.257574
0.442471,1,60.492316
0.429128,1,60.724992
0.429128,1,60.966561
0.442471,1,61.19301
0.429128,1,61.413517
0.4,1,61.636559
0.429128,1,61.860571
0.4,1,62.080504
0.4,1,62.305663
0.429128,1,62.539693
0.4,1,62.798128
0.4,1,63.05558
0.4,1,63.300722
0.4,1,63.538105
0.4,1,63.776824
0.429128,1,64.019991
0.4,1,64.264888
0.4,1,64.500814
0.429128,1,64.766142
0.4,1,64.997954
0.4,1,65.235686
0.442471,1,65.474078
