frase1,fol1,frase2,fol2,relacion
no todo abuelo alegre acuerda ,-all x.((ABUELO(x) & ALEGRE(x)) -> ACORDAR(x)), algún abuelo alegre no acuerda,exists x.(ABUELO(x) & ALEGRE(x) & -ACORDAR(x)),1
no todo abuelo alto acuerda ,-all x.((ABUELO(x) & ALTO(x)) -> ACORDAR(x)), algún abuelo alto no acuerda,exists x.(ABUELO(x) & ALTO(x) & -ACORDAR(x)),1
no todo abuelo amargo acuerda ,-all x.((ABUELO(x) & AMARGO(x)) -> ACORDAR(x)), algún abuelo amargo no acuerda,exists x.(ABUELO(x) & AMARGO(x) & -ACORDAR(x)),1
no todo abuelo amplio acuerda ,-all x.((ABUELO(x) & AMPLIO(x)) -> ACORDAR(x)), algún abuelo amplio no acuerda,exists x.(ABUELO(x) & AMPLIO(x) & -ACORDAR(x)),1
no todo abuelo amarillo acuerda ,-all x.((ABUELO(x) & AMARILLO(x)) -> ACORDAR(x)), algún abuelo amarillo no acuerda,exists x.(ABUELO(x) & AMARILLO(x) & -ACORDAR(x)),1
no todo abuelo alegre aguanta ,-all x.((ABUELO(x) & ALEGRE(x)) -> AGUANTAR(x)), algún abuelo alegre no aguanta,exists x.(ABUELO(x) & ALEGRE(x) & -AGUANTAR(x)),1
no todo abuelo alto aguanta ,-all x.((ABUELO(x) & ALTO(x)) -> AGUANTAR(x)), algún abuelo alto no aguanta,exists x.(ABUELO(x) & ALTO(x) & -AGUANTAR(x)),1
no todo abuelo amargo aguanta ,-all x.((ABUELO(x) & AMARGO(x)) -> AGUANTAR(x)), algún abuelo amargo no aguanta,exists x.(ABUELO(x) & AMARGO(x) & -AGUANTAR(x)),1
no todo abuelo amplio aguanta ,-all x.((ABUELO(x) & AMPLIO(x)) -> AGUANTAR(x)), algún abuelo amplio no aguanta,exists x.(ABUELO(x) & AMPLIO(x) & -AGUANTAR(x)),1
no todo abuelo amarillo aguanta ,-all x.((ABUELO(x) & AMARILLO(x)) -> AGUANTAR(x)), algún abuelo amarillo no aguanta,exists x.(ABUELO(x) & AMARILLO(x) & -AGUANTAR(x)),1
no todo abuelo alegre ama ,-all x.((ABUELO(x) & ALEGRE(x)) -> AMAR(x)), algún abuelo alegre no ama,exists x.(ABUELO(x) & ALEGRE(x) & -AMAR(x)),1
no todo abuelo alto ama ,-all x.((ABUELO(x) & ALTO(x)) -> AMAR(x)), algún abuelo alto no ama,exists x.(ABUELO(x) & ALTO(x) & -AMAR(x)),1
no todo abuelo amargo ama ,-all x.((ABUELO(x) & AMARGO(x)) -> AMAR(x)), algún abuelo amargo no ama,exists x.(ABUELO(x) & AMARGO(x) & -AMAR(x)),1
no todo abuelo amplio ama ,-all x.((ABUELO(x) & AMPLIO(x)) -> AMAR(x)), algún abuelo amplio no ama,exists x.(ABUELO(x) & AMPLIO(x) & -AMAR(x)),1
no todo abuelo amarillo ama ,-all x.((ABUELO(x) & AMARILLO(x)) -> AMAR(x)), algún abuelo amarillo no ama,exists x.(ABUELO(x) & AMARILLO(x) & -AMAR(x)),1
no todo abuelo alegre amanece ,-all x.((ABUELO(x) & ALEGRE(x)) -> AMANECER(x)), algún abuelo alegre no amanece,exists x.(ABUELO(x) & ALEGRE(x) & -AMANECER(x)),1
no todo abuelo alto amanece ,-all x.((ABUELO(x) & ALTO(x)) -> AMANECER(x)), algún abuelo alto no amanece,exists x.(ABUELO(x) & ALTO(x) & -AMANECER(x)),1
no todo abuelo amargo amanece ,-all x.((ABUELO(x) & AMARGO(x)) -> AMANECER(x)), algún abuelo amargo no amanece,exists x.(ABUELO(x) & AMARGO(x) & -AMANECER(x)),1
no todo abuelo amplio amanece ,-all x.((ABUELO(x) & AMPLIO(x)) -> AMANECER(x)), algún abuelo amplio no amanece,exists x.(ABUELO(x) & AMPLIO(x) & -AMANECER(x)),1
no todo abuelo amarillo amanece ,-all x.((ABUELO(x) & AMARILLO(x)) -> AMANECER(x)), algún abuelo amarillo no amanece,exists x.(ABUELO(x) & AMARILLO(x) & -AMANECER(x)),1
no todo abuelo alegre anochece ,-all x.((ABUELO(x) & ALEGRE(x)) -> ANOCHECER(x)), algún abuelo alegre no anochece,exists x.(ABUELO(x) & ALEGRE(x) & -ANOCHECER(x)),1
no todo abuelo alto anochece ,-all x.((ABUELO(x) & ALTO(x)) -> ANOCHECER(x)), algún abuelo alto no anochece,exists x.(ABUELO(x) & ALTO(x) & -ANOCHECER(x)),1
no todo abuelo amargo anochece ,-all x.((ABUELO(x) & AMARGO(x)) -> ANOCHECER(x)), algún abuelo amargo no anochece,exists x.(ABUELO(x) & AMARGO(x) & -ANOCHECER(x)),1
no todo abuelo amplio anochece ,-all x.((ABUELO(x) & AMPLIO(x)) -> ANOCHECER(x)), algún abuelo amplio no anochece,exists x.(ABUELO(x) & AMPLIO(x) & -ANOCHECER(x)),1
no todo abuelo amarillo anochece ,-all x.((ABUELO(x) & AMARILLO(x)) -> ANOCHECER(x)), algún abuelo amarillo no anochece,exists x.(ABUELO(x) & AMARILLO(x) & -ANOCHECER(x)),1
no todo actor alegre acuerda ,-all x.((ACTOR(x) & ALEGRE(x)) -> ACORDAR(x)), algún actor alegre no acuerda,exists x.(ACTOR(x) & ALEGRE(x) & -ACORDAR(x)),1
no todo actor alto acuerda ,-all x.((ACTOR(x) & ALTO(x)) -> ACORDAR(x)), algún actor alto no acuerda,exists x.(ACTOR(x) & ALTO(x) & -ACORDAR(x)),1
